10026	10026
10027	10027
10028	10028
10029	10029
10039	10039
10048	10048
10049	10049
10054	10054
10064	10064
10070	10070
10096	10096
101	101
10101	10101
10105	10105
10106	10106
10107	10107
10112	10112
10113	10113
10119	10119
1012	1012
10123	10123
1013	1013
1014	1014
10144	10144
10146	10146
10149	10149
1015	1015
10154	10154
10155	10155
10156	10156
10157	10157
10158	10158
10159	10159
1016	1016
10160	10160
10161	10161
10162	10162
10163	10163
10165	10165
10167	10167
10169	10169
10171	10171
10174	10174
10176	10176
10177	10177
10178	10178
10179	10179
10180	10180
10181	10181
10182	10182
10185	10185
10189	10189
1019	1019
1020	1020
10200	10200
1021	1021
10222	10222
10225	10225
10230	10230
10240	10240
10242	10242
10243	10243
10247	10247
10258	10258
1026	1026
10266	10266
10267	10267
1027	1027
10270	10270
10276	10276
10278	10278
10280	10280
10289	10289
10291	10291
10297	10297
10299	10299
103	103
10304	10304
10305	10305
10306	10306
10307	10307
10308	10308
10309	10309
10311	10311
10312	10312
10313	10313
10314	10314
10315	10315
10316	10316
10320	10320
10323	10323
10340	10340
10357	10357
10367	10367
10387	10387
1039	1039
10395	10395
10396	10396
10399	10399
1040	1040
10400	10400
10401	10401
10411	10411
10415	10415
1044	1044
10444	10444
10450	10450
10451	10451
10460	10460
10469	10469
10470	10470
10472	10472
10478	10478
10499	10499
10500	10500
10503	10503
10520	10520
10524	10524
10527	10527
10529	10529
10539	10539
10543	10543
10550	10550
10555	10555
10557	10557
10566	10566
10574	10574
10585	10585
10598	10598
10600	10600
10605	10605
10607	10607
10621	10621
10623	10623
10624	10624
10625	10625
10627	10627
10628	10628
10629	10629
1063	1063
10630	10630
10631	10631
10632	10632
10641	10641
10642	10642
10647	10647
10653	10653
10654	10654
10664	10664
10670	10670
10674	10674
10677	10677
1068	1068
10689	10689
10691	10691
10702	10702
1071	1071
10711	10711
10719	10719
1072	1072
10720	10720
10724	10724
1073	1073
10731	10731
10735	10735
10738	10738
10741	10741
10751	10751
10754	10754
10757	10757
10768	10768
10772	10772
10776	10776
10780	10780
10784	10784
10789	10789
1079	1079
10791	10791
10808	10808
10809	10809
10813	10813
10818	10818
10826	10826
10831	10831
10833	10833
10839	10839
10841	10841
10850	10850
10856	10856
10858	10858
1086	1086
10860	10860
10869	10869
10872	10872
10873	10873
10876	10876
10877	10877
10878	10878
10880	10880
10882	10882
10883	10883
10885	10885
10897	10897
10900	10900
10901	10901
10905	10905
10906	10906
10912	10912
10915	10915
10916	10916
10918	10918
1092	1092
10922	10922
10929	10929
10931	10931
10933	10933
10934	10934
10938	10938
10946	10946
10955	10955
10956	10956
10963	10963
1097	1097
10971	10971
1098	1098
10988	10988
10989	10989
1099	1099
10990	10990
10998	10998
11	11
11001	11001
11007	11007
1102	1102
11021	11021
11025	11025
11034	11034
11041	11041
11045	11045
11047	11047
11049	11049
11052	11052
11053	11053
11054	11054
11055	11055
11058	11058
11059	11059
11060	11060
11061	11061
11062	11062
11063	11063
11064	11064
11065	11065
11068	11068
11069	11069
11071	11071
11072	11072
11074	11074
11075	11075
11076	11076
11077	11077
11078	11078
11079	11079
11080	11080
11081	11081
11082	11082
11087	11087
11088	11088
11090	11090
11091	11091
11092	11092
11093	11093
11096	11096
11097	11097
11100	11100
11101	11101
11111	11111
11115	11115
11117	11117
11118	11118
11123	11123
11128	11128
11134	11134
11148	11148
11150	11150
11153	11153
11155	11155
1116	1116
11165	11165
11166	11166
1117	1117
11175	11175
11177	11177
1118	1118
11184	11184
11191	11191
1120	1120
11204	11204
11206	11206
11214	11214
11221	11221
11226	11226
1123	1123
11230	11230
11231	11231
11232	11232
11233	11233
11235	11235
11236	11236
11242	11242
11249	11249
11257	11257
11273	11273
11319	11319
11326	11326
11331	11331
11335	11335
11337	11337
11347	11347
11356	11356
11357	11357
1136	1136
11367	11367
1138	1138
11387	11387
11394	11394
11395	11395
11400	11400
11406	11406
11407	11407
11408	11408
11413	11413
11419	11419
11433	11433
11437	11437
11438	11438
11439	11439
11440	11440
11447	11447
11448	11448
11451	11451
11461	11461
11466	11466
11472	11472
11473	11473
11475	11475
11483	11483
11486	11486
11490	11490
11497	11497
11502	11502
11516	11516
11525	11525
11547	11547
11552	11552
11555	11555
11558	11558
11564	11564
11569	11569
11571	11571
11572	11572
11580	11580
11581	11581
11585	11585
1159	1159
11593	11593
11594	11594
11596	11596
11597	11597
1160	1160
11601	11601
11603	11603
11604	11604
1161	1161
11614	11614
11615	11615
11617	11617
11619	11619
11622	11622
11625	11625
11628	11628
11630	11630
11635	11635
11637	11637
11646	11646
11648	11648
11650	11650
11656	11656
1166	1166
11666	11666
11668	11668
11672	11672
11684	11684
11698	11698
11699	11699
11700	11700
11702	11702
11703	11703
11704	11704
11707	11707
11708	11708
11709	11709
11710	11710
11712	11712
11713	11713
11714	11714
11715	11715
11716	11716
11717	11717
11718	11718
11719	11719
11720	11720
11721	11721
11722	11722
11723	11723
11724	11724
11725	11725
11726	11726
11727	11727
11728	11728
11729	11729
11730	11730
11731	11731
11744	11744
11748	11748
11760	11760
11762	11762
11763	11763
11764	11764
11767	11767
11768	11768
11769	11769
11770	11770
11776	11776
11777	11777
11780	11780
11782	11782
11783	11783
11784	11784
11791	11791
11797	11797
11798	11798
11799	11799
11800	11800
1181	1181
11811	11811
11814	11814
1182	1182
11822	11822
11823	11823
11827	11827
11830	11830
11832	11832
11834	11834
1184	1184
11845	11845
11847	11847
11853	11853
11855	11855
11866	11866
11867	11867
11874	11874
11882	11882
11896	11896
1190	1190
11902	11902
11906	11906
11910	11910
11926	11926
11931	11931
