#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_5	58	300	+	BENMGJ_00003	9.2	7.1		
contig_6	899	1534	-	BENMGJ_00005	25.0	10.0		
contig_8	190	1218	+	BENMGJ_00009	38.7	6.7		
contig_8	1632	2015	-	BENMGJ_00011	14.0	5.6	PF00430.23|ATP-synt_B	PFAM:PF00430.23
contig_13	2073	2246	+	BENMGJ_00030	6.3	11.9		
contig_14	3254	3427	-	BENMGJ_00036	6.5	4.8		
contig_14	7802	7957	-	BENMGJ_00039	5.9	6.7		
contig_16	9820	9921	-	BENMGJ_00062	3.7	5.5		
contig_19	503	781	+	BENMGJ_00097	10.9	10.0		
contig_20	8531	9694	+	BENMGJ_00125	45.3	4.8	PF03738.19|GSP_synth	PFAM:PF03738.19
contig_21	3058	3342	+	BENMGJ_00142	10.5	10.1	PF13693.12|HTH_35	PFAM:PF13693.12
contig_21	11877	13556	+	BENMGJ_00152	65.4	6.7	PF00496.27|SBP_bac_5	PFAM:PF00496.27
contig_21	13556	13738	+	BENMGJ_00153	6.8	7.8		
contig_21	19709	20305	+	BENMGJ_00159	22.6	10.0	PF13356.12|Arm-DNA-bind_3, PF22022.2|Phage_int_M	PFAM:PF13356.12, PFAM:PF22022.2
contig_22	3631	3975	-	BENMGJ_00162	12.9	9.8		SO:0001217, UniRef:UniRef50_A0A0T9RQT6
contig_22	3929	4066	-	BENMGJ_00163	5.4	8.0		
contig_24	58	357	+	BENMGJ_00206	11.4	6.1		
contig_26	25237	25497	-	BENMGJ_00282	9.6	4.5		
contig_26	31563	32216	-	BENMGJ_00291	23.2	9.8		
contig_28	7	261	+	BENMGJ_00326	9.5	8.2	PF13551.12|HTH_29	PFAM:PF13551.12
contig_28	309	557	+	BENMGJ_00327	9.8	6.8	PF13683.12|rve_3	PFAM:PF13683.12
contig_28	663	863	-	BENMGJ_00328	7.5	6.0		
contig_28	950	1105	-	BENMGJ_00329	6.3	10.4		
contig_28	11871	12155	-	BENMGJ_00340	11.0	8.4		
contig_28	19709	19981	-	BENMGJ_00348	10.4	10.9		
contig_28	20435	20764	-	BENMGJ_00349	12.7	5.7		
contig_28	20857	21072	-	BENMGJ_00350	8.0	9.6		
contig_28	29506	29613	+	BENMGJ_00363	4.1	4.6		
contig_28	30042	30353	+	BENMGJ_00364	11.5	10.4		
contig_28	33848	33967	-	BENMGJ_00367	4.4	8.8		
contig_29	327	512	+	BENMGJ_00371	6.8	4.1		SO:0001217, UniRef:UniRef50_G5R962
contig_29	4700	5008	-	BENMGJ_00376	11.1	7.0	PF17209.9|Hfq	PFAM:PF17209.9
contig_30	12920	14323	+	BENMGJ_00425	49.8	5.3	PF07196.18|Flagellin_IN	PFAM:PF07196.18
contig_30	14745	15113	+	BENMGJ_00427	13.7	5.1		
contig_30	22709	23416	+	BENMGJ_00435	25.8	4.6		
contig_30	25248	26465	+	BENMGJ_00438	41.9	4.9	PF02120.21|Flg_hook	PFAM:PF02120.21
contig_30	35127	35312	-	BENMGJ_00452	7.0	5.8		
contig_30	46075	46389	-	BENMGJ_00466	12.1	6.0		
contig_31	5906	6361	+	BENMGJ_00476	16.2	9.7	PF07012.17|Curlin_rpt	PFAM:PF07012.17
contig_31	6403	6858	+	BENMGJ_00477	15.3	5.0	PF07012.17|Curlin_rpt	PFAM:PF07012.17
contig_31	48963	49187	+	BENMGJ_00521	8.4	4.5		SO:0001217, UniRef:UniRef50_G5NAS5
contig_32	43800	44438	+	BENMGJ_00557	24.1	8.5		
contig_33	8607	8858	-	BENMGJ_00572	9.6	8.8		
contig_33	32791	34221	+	BENMGJ_00596	54.6	5.5		
contig_33	37788	38336	+	BENMGJ_00602	19.6	4.9		
contig_34	38746	38904	-	BENMGJ_00647	6.0	11.0		
contig_35	15637	16155	-	BENMGJ_00695	17.7	4.3	PF00419.26|Fimbrial	PFAM:PF00419.26
contig_35	29123	29656	+	BENMGJ_00705	19.9	5.5	PF05838.17|Glyco_hydro_108, PF09374.15|PG_binding_3	PFAM:PF05838.17, PFAM:PF09374.15
contig_35	31329	31469	+	BENMGJ_00708	5.3	10.7		
contig_35	34906	35310	+	BENMGJ_00712	14.5	9.1		
contig_35	51533	52819	+	BENMGJ_00729	46.8	4.6	PF13954.11|PapC_N	PFAM:PF13954.11
contig_35	52841	54070	+	BENMGJ_00730	45.1	5.0	PF13953.12|PapC_C	PFAM:PF13953.12
contig_35	59840	59947	-	BENMGJ_00737	4.2	4.5		SO:0001217, UniRef:UniRef50_A0A2X4TXI3
contig_35	84199	84786	+	BENMGJ_00759	21.3	8.5	PF04055.27|Radical_SAM	PFAM:PF04055.27
contig_36	51	155	+	BENMGJ_00769	3.8	4.1		
contig_36	20809	22146	-	BENMGJ_00790	51.0	5.7	PF14814.11|UB2H, PF17757.6|UvrB_inter, PF21132.2|MFD_D3	PFAM:PF14814.11, PFAM:PF17757.6, PFAM:PF21132.2
contig_36	48169	48375	-	BENMGJ_00817	8.1	9.5		SO:0001217, UniRef:UniRef50_A0A659M0N4
contig_36	55531	55704	-	BENMGJ_00828	6.5	11.0		
contig_36	56829	57872	+	BENMGJ_00830	39.0	5.9	PF13088.12|BNR_2	PFAM:PF13088.12
contig_36	58633	58947	-	BENMGJ_00832	10.6	8.8	PF13146.11|TRL	PFAM:PF13146.11
contig_36	65823	66149	+	BENMGJ_00839	12.1	5.1	PF03860.21|DUF326	PFAM:PF03860.21
contig_36	108766	108981	+	BENMGJ_00887	8.5	8.5		SO:0001217, UniRef:UniRef50_A0A4Z0P2U0
contig_36	127625	128584	-	BENMGJ_00908	34.9	6.1		
contig_36	128726	129040	+	BENMGJ_00909	12.3	8.0		
contig_36	131997	132125	-	BENMGJ_00912	5.0	6.7		
contig_37	18653	18775	-	BENMGJ_00929	4.6	8.8		
contig_37	62691	63041	+	BENMGJ_00970	13.0	5.7	PF02311.25|AraC_binding, PF07883.17|Cupin_2, PF16867.11|DMSP_lyase	PFAM:PF02311.25, PFAM:PF07883.17, PFAM:PF16867.11
contig_37	89797	90111	+	BENMGJ_00998	12.4	5.6	PF05336.19|rhaM	PFAM:PF05336.19
contig_37	128356	128871	-	BENMGJ_01038	19.2	5.8		
contig_38	7851	8312	+	BENMGJ_01059	15.9	8.7		
contig_38	24360	24662	-	BENMGJ_01072	11.4	9.5	PF14384.12|BrnA_antitoxin	PFAM:PF14384.12
contig_38	34388	34552	-	BENMGJ_01081	6.8	10.8	PF06568.16|DUF1127	PFAM:PF06568.16
contig_38	46495	46941	-	BENMGJ_01092	16.7	9.4	PF05638.18|T6SS_HCP	PFAM:PF05638.18
contig_38	50562	50930	-	BENMGJ_01097	13.6	7.0	PF03625.19|DUF302	PFAM:PF03625.19
contig_38	57870	57977	+	BENMGJ_01106	4.1	9.7		SO:0001217, UniRef:UniRef50_A0A0J1LPK6
contig_38	62605	68946	-	BENMGJ_01111	238.2	5.8	PF00270.35|DEAD, PF00271.37|Helicase_C, PF09369.15|MZB	PFAM:PF00270.35, PFAM:PF00271.37, PFAM:PF09369.15
contig_38	68946	73868	-	BENMGJ_01112	188.9	5.6	PF07669.17|Eco57I	PFAM:PF07669.17
contig_38	78287	78601	+	BENMGJ_01115	12.2	7.0		
contig_38	78598	78885	-	BENMGJ_01116	10.9	10.3	PF13356.12|Arm-DNA-bind_3	PFAM:PF13356.12
contig_39	32828	33070	-	BENMGJ_01218	8.8	10.3		
contig_39	35794	35994	-	BENMGJ_01223	7.5	9.8		
contig_39	37398	37688	-	BENMGJ_01226	11.0	5.4		
contig_39	40612	41145	+	BENMGJ_01232	20.4	4.9		
contig_39	47868	47966	+	BENMGJ_01245	3.9	8.3		
