# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_3	cds	465	650	+	OEKLIE_00001	108.0	1.2e-33	1.0	1.0	0.951	BlastRules:WP_002209449
contig_4	cds	112	738	-	OEKLIE_00002	367.0	6.4e-129	1.0	0.924	0.894	UniRef:UniRef50_A0A379SBF8
contig_6	cds	1	696	+	OEKLIE_00003	-	-	-	-	-	-
contig_7	cds	430	741	-	OEKLIE_00004	-	-	-	-	-	-
contig_8	cds	490	768	-	OEKLIE_00005	-	-	-	-	-	-
contig_9	cds	444	716	+	OEKLIE_00006	-	-	-	-	-	-
contig_10	cds	143	736	-	OEKLIE_00007	-	-	-	-	-	-
contig_11	tRNA	7	85	-	OEKLIE_00008	49.9	-	-	-	-	-
contig_11	cds	308	826	-	OEKLIE_00009	330.0	7.2e-116	0.948	1.0	0.963	UniRef:UniRef50_A0A378FLX3
contig_12	cds	317	535	+	OEKLIE_00010	-	-	-	-	-	-
contig_12	cds	537	842	+	OEKLIE_00011	148.0	7.6e-46	0.931	0.810	0.809	UniRef:UniRef50_A0A8E5IPM4
contig_13	cds	287	895	-	OEKLIE_00012	271.0	6.3e-92	0.822	0.976	0.789	UniRef:UniRef50_A0AA87CV84
contig_15	cds	23	496	+	OEKLIE_00013	-	-	-	-	-	-
contig_15	cds	469	894	-	OEKLIE_00014	-	-	-	-	-	-
contig_19	cds	306	509	+	OEKLIE_00015	-	-	-	-	-	-
contig_20	cds	263	739	+	OEKLIE_00016	177.0	1.7e-55	1.0	0.913	0.608	UniRef:UniRef50_G8LD54
contig_20	cds	782	1021	+	OEKLIE_00017	-	-	-	-	-	-
contig_21	cds	9	344	+	OEKLIE_00018	-	-	-	-	-	-
contig_21	cds	341	898	+	OEKLIE_00019	233.0	7.7e-77	0.978	0.948	0.597	UniRef:UniRef50_A0A318G2B8
contig_21	cds	895	1107	+	OEKLIE_00020	-	-	-	-	-	-
contig_22	cds	9	809	+	OEKLIE_00021	332.0	4.5e-113	1.068	0.973	0.729	UniRef:UniRef50_A0A447PP41
contig_23	cds	82	639	+	OEKLIE_00022	-	-	-	-	-	-
contig_24	cds	106	1215	+	OEKLIE_00023	475.0	7.5e-167	0.978	0.973	0.640	UniRef:UniRef50_A0A483GNS4
contig_25	cds	180	647	+	OEKLIE_00024	327.0	1.8e-117	1.0	1.0	1.0	BlastRules:WP_000495848
contig_25	cds	644	1120	-	OEKLIE_00025	180.0	4.2e-57	0.981	0.994	0.568	UniRef:UniRef50_Q493L0
