#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_2	192	503	+	ALJMDI_00002	11.2	9.7	PF00347.28|Ribosomal_L6	PFAM:PF00347.28
contig_2	863	1243	-	ALJMDI_00004	14.6	7.8		
contig_4	274	513	+	ALJMDI_00007	8.6	8.1		
contig_4	513	629	+	ALJMDI_00008	4.5	12.0		
contig_4	12969	13244	-	ALJMDI_00027	10.0	5.8	PF00132.30|Hexapep	PFAM:PF00132.30
contig_5	250	564	+	ALJMDI_00028	12.0	6.2		
contig_5	11298	11483	+	ALJMDI_00042	7.0	5.8		
contig_7	18671	18808	+	ALJMDI_00083	5.4	9.1		
contig_8	59770	60564	+	ALJMDI_00146	30.6	4.8	PF06877.16|RraB	PFAM:PF06877.16
contig_8	97178	97465	-	ALJMDI_00184	10.9	10.4	PF13693.12|HTH_35	PFAM:PF13693.12
contig_8	103454	103555	+	ALJMDI_00191	3.7	6.5		
contig_9	1351	1590	+	ALJMDI_00196	8.4	9.6		
contig_9	18272	18748	+	ALJMDI_00213	17.6	9.4		
contig_9	20645	20983	-	ALJMDI_00215	13.1	10.1		
contig_9	20946	21362	-	ALJMDI_00216	15.5	8.9	PF13438.11|DUF4113	PFAM:PF13438.11
contig_9	24970	25092	-	ALJMDI_00220	4.6	6.7		
contig_9	25693	25851	+	ALJMDI_00221	5.7	9.7		
contig_9	31318	32589	+	ALJMDI_00229	46.8	4.5		
contig_9	40987	41277	-	ALJMDI_00242	10.7	5.0		
contig_9	50824	52143	-	ALJMDI_00250	49.0	9.5	PF01476.26|LysM, PF01551.29|Peptidase_M23, PF04225.17|LysM_OapA, PF08525.16|OapA_N, PF19425.4|Csd3_N2, PF22310.2|NMB0315_dom_I	PFAM:PF01476.26, PFAM:PF01551.29, PFAM:PF04225.17, PFAM:PF08525.16, PFAM:PF19425.4, PFAM:PF22310.2
contig_9	76744	76938	+	ALJMDI_00276	6.9	8.1		
contig_9	95575	96843	+	ALJMDI_00297	44.8	9.6	PF01490.24|Aa_trans	PFAM:PF01490.24
contig_9	100014	100298	-	ALJMDI_00302	10.7	4.9		
contig_9	113944	115347	+	ALJMDI_00319	49.8	5.3	PF07196.18|Flagellin_IN	PFAM:PF07196.18
contig_9	115769	116137	+	ALJMDI_00321	13.7	5.1		
contig_9	123733	124440	+	ALJMDI_00330	25.8	4.6		
contig_9	126272	127495	+	ALJMDI_00333	41.9	5.0	PF02120.21|Flg_hook	PFAM:PF02120.21
contig_10	10752	11540	+	ALJMDI_00355	29.5	9.5	PF00165.29|HTH_AraC, PF12833.13|HTH_18	PFAM:PF00165.29, PFAM:PF12833.13
contig_10	44603	44770	+	ALJMDI_00392	5.7	10.5		
contig_10	44907	45545	+	ALJMDI_00393	23.8	9.1	PF00440.29|TetR_N, PF08362.16|TetR_C_3	PFAM:PF00440.29, PFAM:PF08362.16
contig_10	69345	69800	+	ALJMDI_00418	16.2	9.7	PF07012.17|Curlin_rpt	PFAM:PF07012.17
contig_10	69842	70297	+	ALJMDI_00419	15.3	5.0	PF07012.17|Curlin_rpt	PFAM:PF07012.17
contig_10	112391	112615	+	ALJMDI_00463	8.4	4.5		SO:0001217, UniRef:UniRef50_G5NAS5
contig_10	159189	159578	+	ALJMDI_00510	14.6	9.1		
contig_10	174780	175103	+	ALJMDI_00530	12.1	6.8	PF04383.19|KilA-N	PFAM:PF04383.19
contig_10	175202	175612	+	ALJMDI_00531	15.7	4.6		
contig_10	176938	177240	+	ALJMDI_00532	11.3	9.5	PF13384.12|HTH_23, PF13518.12|HTH_28, PF13551.12|HTH_29	PFAM:PF13384.12, PFAM:PF13518.12, PFAM:PF13551.12
contig_10	177194	177454	+	ALJMDI_00533	10.2	10.9		
contig_10	188098	188262	+	ALJMDI_00545	6.5	8.9		
contig_10	194056	194229	-	ALJMDI_00554	6.5	10.5		
contig_10	195355	196398	+	ALJMDI_00556	39.0	5.9	PF13088.12|BNR_2	PFAM:PF13088.12
contig_10	197160	197474	-	ALJMDI_00558	10.6	8.8	PF13146.11|TRL	PFAM:PF13146.11
contig_10	204350	204676	+	ALJMDI_00565	12.1	5.1	PF03860.21|DUF326	PFAM:PF03860.21
contig_11	22511	22822	-	ALJMDI_00587	11.4	10.3	PF01035.26|DNA_binding_1	PFAM:PF01035.26
contig_11	55715	56290	-	ALJMDI_00620	21.6	8.8		
contig_11	68031	68135	+	ALJMDI_00632	3.8	8.5		SO:0001217, UniRef:UniRef50_V1H4Y4
contig_11	91488	91706	-	ALJMDI_00659	8.1	10.1		
contig_11	91878	92036	+	ALJMDI_00660	5.6	6.7		
contig_11	107498	107866	-	ALJMDI_00676	14.1	8.5		
contig_11	157470	157568	+	ALJMDI_00724	3.8	5.3		
contig_11	185616	186185	+	ALJMDI_00753	21.8	9.5	PF00158.32|Sigma54_activat	PFAM:PF00158.32
contig_11	217575	217724	+	ALJMDI_00788	5.7	8.7		
contig_12	14964	15338	-	ALJMDI_00807	14.3	6.1		SO:0001217, UniRef:UniRef50_A0A5Y6ERN7
contig_12	78626	80056	+	ALJMDI_00873	54.6	5.5		
contig_12	83624	84172	+	ALJMDI_00879	19.7	4.8		
contig_12	113289	113804	+	ALJMDI_00909	19.2	5.8		
contig_12	155030	155344	-	ALJMDI_00952	12.3	5.6	PF05336.19|rhaM	PFAM:PF05336.19
contig_12	181764	182114	-	ALJMDI_00980	13.0	5.7	PF02311.25|AraC_binding, PF07883.17|Cupin_2, PF16867.11|DMSP_lyase	PFAM:PF02311.25, PFAM:PF07883.17, PFAM:PF16867.11
contig_13	833	1375	+	ALJMDI_01040	20.1	8.5	PF03925.18|SeqA, PF17206.9|SeqA_N	PFAM:PF03925.18, PFAM:PF17206.9
contig_13	7599	7703	-	ALJMDI_01045	4.3	11.8		
contig_13	24410	24631	+	ALJMDI_01059	8.0	6.5		
contig_13	25041	25373	+	ALJMDI_01060	12.0	9.7		
contig_13	49624	49749	+	ALJMDI_01081	4.6	9.0		
contig_13	53917	54030	+	ALJMDI_01084	4.0	4.5		
contig_13	64431	64817	-	ALJMDI_01101	13.3	5.2		
contig_13	73746	74654	-	ALJMDI_01110	33.3	6.0		
contig_13	80125	80256	-	ALJMDI_01117	4.5	4.5	PF08282.18|Hydrolase_3	PFAM:PF08282.18
contig_13	80202	80570	-	ALJMDI_01118	14.6	8.9		
contig_13	81560	81724	-	ALJMDI_01121	6.4	9.7		
contig_13	82708	82863	-	ALJMDI_01123	5.4	7.8	PF08282.18|Hydrolase_3	PFAM:PF08282.18
contig_13	156436	156576	+	ALJMDI_01189	5.3	9.6		
contig_13	192867	193382	-	ALJMDI_01229	18.8	5.9	PF12883.13|DUF3828	PFAM:PF12883.13
contig_13	239675	239842	-	ALJMDI_01267	6.7	8.3		
contig_13	282082	282321	-	ALJMDI_01300	8.7	10.4		
contig_13	288284	288538	+	ALJMDI_01306	9.6	9.5	PF01381.28|HTH_3	PFAM:PF01381.28
contig_13	302091	302282	-	ALJMDI_01329	7.6	5.2		SO:0001217, UniRef:UniRef50_A9ML91
contig_13	302358	302582	-	ALJMDI_01330	8.8	10.6		
contig_13	305218	305424	+	ALJMDI_01333	7.9	6.6		
contig_13	309426	309668	+	ALJMDI_01337	9.0	6.6	PF13856.12|Gifsy-2	PFAM:PF13856.12
contig_13	320997	321239	+	ALJMDI_01349	8.6	9.3		
contig_14	21539	21829	+	ALJMDI_01390	11.3	10.1	PF09400.15|DUF2002	PFAM:PF09400.15
contig_14	23765	23944	-	ALJMDI_01393	6.5	4.4		
contig_14	25042	25200	+	ALJMDI_01396	6.0	11.0		
contig_14	64066	64476	+	ALJMDI_01430	16.1	5.2		SO:0001217, UniRef:UniRef50_A0A1C4EF45
contig_14	64711	65175	+	ALJMDI_01432	18.9	9.3		SO:0001217, UniRef:UniRef50_A0A1C4EF54
contig_14	70980	71612	-	ALJMDI_01438	22.6	5.6	PF07022.19|Phage_CI_repr, PF16452.10|Phage_CI_C	PFAM:PF07022.19, PFAM:PF16452.10
contig_14	72969	73163	+	ALJMDI_01442	7.3	10.4		
contig_14	77417	77605	+	ALJMDI_01448	7.3	4.6		
contig_14	99273	99512	+	ALJMDI_01476	8.8	8.7		
contig_14	99599	99976	-	ALJMDI_01477	14.1	8.6		
contig_14	168938	169180	-	ALJMDI_01538	8.9	10.2		
contig_14	174107	174397	-	ALJMDI_01547	11.0	5.4		
contig_14	239411	239590	-	ALJMDI_01609	6.5	10.6		SO:0001217, UniRef:UniRef50_A0A4Z0LFH4
contig_14	241661	241885	+	ALJMDI_01613	8.7	11.0		
contig_14	295541	297019	-	ALJMDI_01642	54.8	5.9	PF06742.16|DUF1214, PF06863.17|DUF1254	PFAM:PF06742.16, PFAM:PF06863.17
contig_14	299090	299281	-	ALJMDI_01646	7.4	11.9		
contig_14	324847	325047	-	ALJMDI_01668	8.1	8.0		
contig_15	7074	7448	+	ALJMDI_01744	14.1	8.7	PF22022.2|Phage_int_M	PFAM:PF22022.2
contig_15	13398	14261	-	ALJMDI_01750	32.3	6.8	PF01276.26|OKR_DC_1	PFAM:PF01276.26
contig_15	15005	15106	+	ALJMDI_01751	4.0	6.0		
contig_15	85910	86971	-	ALJMDI_01827	40.7	9.2	PF13439.12|Glyco_transf_4, PF13692.12|Glyco_trans_1_4	PFAM:PF13439.12, PFAM:PF13692.12
contig_15	118361	118849	-	ALJMDI_01856	17.6	8.7	PF00132.30|Hexapep	PFAM:PF00132.30
contig_15	134863	135060	+	ALJMDI_01870	7.2	9.4		
contig_15	150511	150843	+	ALJMDI_01880	12.4	5.2		
contig_15	150860	151168	+	ALJMDI_01881	11.3	5.0		
contig_15	152777	153379	-	ALJMDI_01884	24.1	6.7		
contig_15	181299	181766	-	ALJMDI_01912	17.7	9.2	PF07308.18|DUF1456	PFAM:PF07308.18, SO:0001217, UniRef:UniRef50_A0A0H2V0J0
contig_15	250557	251747	-	ALJMDI_01975	43.3	9.8		
contig_15	254507	254791	+	ALJMDI_01978	10.5	9.5	PF01386.24|Ribosomal_L25p	PFAM:PF01386.24
contig_15	264776	264949	-	ALJMDI_01990	6.3	11.9		
contig_15	267680	268129	-	ALJMDI_01995	16.4	6.9		
contig_15	284133	286979	-	ALJMDI_02011	106.2	5.8	PF00072.30|Response_reg, PF00512.31|HisKA, PF02518.31|HATPase_c, PF09456.16|RcsC	PFAM:PF00072.30, PFAM:PF00512.31, PFAM:PF02518.31, PFAM:PF09456.16
contig_15	327680	327985	-	ALJMDI_02047	11.3	5.1	PF05957.18|DUF883	PFAM:PF05957.18
contig_15	328700	329479	+	ALJMDI_02049	27.9	6.2	PF12706.13|Lactamase_B_2	PFAM:PF12706.13
contig_15	392424	392618	+	ALJMDI_02107	7.5	5.6	PF12883.13|DUF3828	PFAM:PF12883.13
contig_15	406558	406842	-	ALJMDI_02121	10.3	4.1		
contig_15	411851	411946	+	ALJMDI_02127	3.7	6.0		SO:0001217, UniRef:UniRef50_A0A3S4H9S7
contig_15	423605	426100	-	ALJMDI_02137	92.5	5.4	PF00359.27|PTS_EIIA_2, PF00381.24|PTS-HPr, PF00391.29|PEP-utilizers, PF02896.24|PEP-utilizers_C	PFAM:PF00359.27, PFAM:PF00381.24, PFAM:PF00391.29, PFAM:PF02896.24
contig_15	435499	435825	+	ALJMDI_02146	13.3	10.0		
contig_16	35535	35639	+	ALJMDI_02187	3.6	8.0	PF02302.22|PTS_IIB	PFAM:PF02302.22
contig_16	79452	79625	+	ALJMDI_02225	6.3	11.9		
contig_16	96457	97290	-	ALJMDI_02243	29.1	9.7	PF00892.27|EamA	PFAM:PF00892.27
contig_16	116555	116716	+	ALJMDI_02265	6.0	6.7		
contig_16	126654	127241	+	ALJMDI_02276	21.2	5.9		
contig_16	127271	127510	+	ALJMDI_02277	8.4	9.5		
contig_16	132643	132798	-	ALJMDI_02283	6.0	6.5		
contig_16	141906	142331	-	ALJMDI_02291	15.1	6.7		
contig_16	143759	143890	-	ALJMDI_02293	4.8	6.0		
contig_16	146771	146869	+	ALJMDI_02297	3.7	9.5		
contig_16	207141	208751	-	ALJMDI_02357	54.1	4.4	PF03895.21|YadA_anchor, PF05658.19|YadA_head, PF05662.19|YadA_stalk	PFAM:PF03895.21, PFAM:PF05658.19, PFAM:PF05662.19
contig_16	241349	242035	-	ALJMDI_02386	25.6	5.7	PF00128.31|Alpha-amylase	PFAM:PF00128.31
