# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_2	ncRNA	807	865	-	PAPNPA_00001	91.5	3.9e-16	-	-	-	RFAM:RF02056
contig_3	cds	27	929	+	PAPNPA_00002	-	-	-	-	-	-
contig_4	cds	508	987	+	PAPNPA_00003	-	-	-	-	-	-
contig_5	ncRNA	12	152	-	PAPNPA_00004	140.3	4.1e-22	-	-	-	RFAM:RF01396
contig_5	cds	308	589	+	PAPNPA_00005	-	-	-	-	-	-
contig_7	cds	37	1149	-	PAPNPA_00006	414.0	9.7e-142	0.970	0.825	0.596	UniRef:UniRef50_A0A564II54
contig_8	cds	76	549	-	PAPNPA_00007	-	-	-	-	-	-
contig_9	cds	87	791	-	PAPNPA_00008	427.0	4.6e-152	1.051	1.0	0.951	UniRef:UniRef50_P0A7L0
contig_9	cds	795	1223	-	PAPNPA_00009	191.0	1.8e-61	1.0	0.845	0.683	UniRef:UniRef50_P10055
contig_9	cds	1381	1824	-	PAPNPA_00010	283.0	4.5e-98	0.980	0.966	0.972	UniRef:UniRef50_A0A4Q3YN90
contig_10	cds	390	584	+	PAPNPA_00011	87.0	8.7e-23	0.984	0.840	0.603	UniRef:UniRef50_O68934
contig_10	cds	657	1133	+	PAPNPA_00012	180.0	4.2e-57	0.981	0.994	0.568	UniRef:UniRef50_Q493L0
contig_10	cds	1130	1597	-	PAPNPA_00013	318.0	5.8e-114	1.0	1.0	0.981	BlastRules:WP_000495848
contig_11	cds	169	2283	-	PAPNPA_00014	1074.0	0.0	1.0	0.999	0.776	UniRef:UniRef50_Q1LSY5
contig_12	cds	307	1233	+	PAPNPA_00015	433.0	3.5e-151	0.997	0.810	0.668	UniRef:UniRef50_P54556
contig_12	cds	1268	2230	-	PAPNPA_00016	559.0	6.9e-201	0.997	0.889	0.871	UniRef:UniRef50_P06709
contig_12	cds	2227	3126	-	PAPNPA_00017	356.0	3.3e-121	0.977	0.830	0.599	UniRef:UniRef50_Q5E225
contig_13	tRNA	105	180	-	PAPNPA_00018	75.0	-	-	-	-	-
contig_13	cds	402	764	+	PAPNPA_00019	180.0	7.0e-58	0.992	0.875	0.773	UniRef:UniRef50_P0AD37
contig_13	cds	787	1158	+	PAPNPA_00020	166.0	2.6e-52	1.0	0.820	0.683	UniRef:UniRef50_P27238
contig_13	cds	1212	2627	-	PAPNPA_00021	854.0	4.1e-312	0.996	0.864	0.878	UniRef:UniRef50_P04805
contig_13	tRNA	2886	2961	+	PAPNPA_00022	84.6	-	-	-	-	-
contig_13	tRNA	3007	3082	+	PAPNPA_00023	84.6	-	-	-	-	-
contig_13	tRNA	3124	3199	+	PAPNPA_00024	84.6	-	-	-	-	-
contig_13	tRNA	3204	3278	+	PAPNPA_00025	76.5	-	-	-	-	-
contig_15	cds	70	546	+	PAPNPA_00026	-	-	-	-	-	-
contig_15	cds	515	3148	+	PAPNPA_00027	1219.0	0.0	1.079	0.999	0.644	UniRef:UniRef50_P76272
contig_15	cds	3124	4665	+	PAPNPA_00028	689.0	1.2e-246	0.949	0.935	0.688	UniRef:UniRef50_P76273
contig_15	cds	4779	5018	+	PAPNPA_00029	110.0	1.3e-31	0.987	0.987	0.590	UniRef:UniRef50_A0A0H3B364
contig_15	cds	5129	5320	+	PAPNPA_00030	142.0	1.3e-44	1.0	0.840	1.0	UniRef:UniRef50_A0A090V2E4
contig_15	cds	5339	5989	-	PAPNPA_00031	234.0	4.5e-76	1.019	0.913	0.514	UniRef:UniRef50_A0A1B7IQI8
contig_16	cds	113	847	-	PAPNPA_00032	291.0	7.1e-98	0.971	0.859	0.671	UniRef:UniRef50_P0AEK2
contig_16	cds	860	1789	-	PAPNPA_00033	592.0	4.5e-217	1.0	1.0	0.997	BlastRules:WP_000191343
contig_16	cds	1805	2758	-	PAPNPA_00034	591.0	2.4e-216	1.0	1.0	0.950	BlastRules:WP_000288132
contig_16	cds	2838	3887	-	PAPNPA_00035	589.0	2.7e-212	0.943	0.896	0.933	UniRef:UniRef50_A4W9A4
contig_16	cds	4051	4224	-	PAPNPA_00036	64.7	3.6e-14	0.982	0.848	0.554	UniRef:UniRef50_C7RBG1
contig_16	cds	4276	4797	-	PAPNPA_00037	216.0	6.5e-71	0.977	0.977	0.633	UniRef:UniRef50_A0A1H7VBN6
contig_16	ncRNA	4834	5001	-	PAPNPA_00038	201.0	1.4e-31	-	-	-	RFAM:RF00077
