#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_3	27	929	+	PAPNPA_00002	33.5	5.7	PF00384.28|Molybdopterin	PFAM:PF00384.28
contig_4	508	987	+	PAPNPA_00003	17.2	4.9		
contig_5	308	589	+	PAPNPA_00005	10.5	5.3	PF00665.32|rve	PFAM:PF00665.32
contig_7	37	1149	-	PAPNPA_00006	42.7	10.3		SO:0001217, UniRef:UniRef50_A0A564II54
contig_8	76	549	-	PAPNPA_00007	16.9	9.0	PF00141.28|peroxidase	PFAM:PF00141.28
contig_15	70	546	+	PAPNPA_00026	17.5	6.1		
contig_16	5650	5874	-	PAPNPA_00040	8.4	4.5		SO:0001217, UniRef:UniRef50_G5NAS5
contig_16	6076	6576	-	PAPNPA_00041	19.1	6.7		
contig_17	215	688	+	PAPNPA_00042	16.6	4.5		
contig_17	6712	6885	+	PAPNPA_00047	6.6	4.9		
contig_21	18792	18929	+	PAPNPA_00106	5.4	6.1		
contig_21	18883	19227	+	PAPNPA_00107	12.8	9.7		SO:0001217, UniRef:UniRef50_A0A0T9RQT6
contig_22	75	428	+	PAPNPA_00110	13.7	6.7		
contig_22	3450	3848	-	PAPNPA_00114	14.5	6.0	PF00430.23|ATP-synt_B	PFAM:PF00430.23
contig_23	18008	18463	-	PAPNPA_00156	17.7	9.8	PF10263.15|SprT-like, PF17283.8|Zn_ribbon_SprT	PFAM:PF10263.15, PFAM:PF17283.8
contig_24	30454	30999	-	PAPNPA_00196	19.6	6.7	PF00107.32|ADH_zinc_N, PF01262.27|AlaDh_PNT_C	PFAM:PF00107.32, PFAM:PF01262.27
contig_25	6404	6511	+	PAPNPA_00202	4.2	9.6		SO:0001217, UniRef:UniRef50_A0A455RYX3
contig_27	14973	15692	-	PAPNPA_00282	27.8	5.5		SO:0001217, UniRef:UniRef50_A0A613AEX6
contig_27	37751	38734	+	PAPNPA_00296	35.2	5.0		
contig_27	38747	39160	+	PAPNPA_00297	15.6	9.4		
contig_28	3263	3472	-	PAPNPA_00302	7.8	9.5	PF00196.25|GerE	PFAM:PF00196.25
contig_28	3529	3984	-	PAPNPA_00303	18.0	8.5	PF03472.21|Autoind_bind	PFAM:PF03472.21
contig_28	7864	8292	-	PAPNPA_00308	16.8	8.9	PF02899.23|Phage_int_SAM_1	PFAM:PF02899.23
contig_28	12295	13698	+	PAPNPA_00312	49.8	5.3	PF07196.18|Flagellin_IN	PFAM:PF07196.18
contig_28	14120	14488	+	PAPNPA_00314	13.7	5.1		
contig_28	22084	22791	+	PAPNPA_00323	25.8	4.6		
contig_28	24623	25846	+	PAPNPA_00326	41.9	5.0	PF02120.21|Flg_hook	PFAM:PF02120.21
contig_28	34507	34692	-	PAPNPA_00340	7.0	5.8		
contig_28	45227	46045	-	PAPNPA_00353	31.1	4.9		SO:0001217, UniRef:UniRef50_A0A657FSQ1
contig_29	6567	7022	+	PAPNPA_00365	15.3	5.0	PF07012.17|Curlin_rpt	PFAM:PF07012.17
contig_29	47776	48003	-	PAPNPA_00407	8.6	11.6		
contig_30	167	451	+	PAPNPA_00408	10.7	4.9		
contig_30	3623	4891	-	PAPNPA_00413	44.8	9.6	PF01490.24|Aa_trans	PFAM:PF01490.24
contig_30	48155	49474	+	PAPNPA_00460	49.0	9.5	PF01476.26|LysM, PF01551.29|Peptidase_M23, PF04225.17|LysM_OapA, PF08525.16|OapA_N, PF19425.4|Csd3_N2, PF22310.2|NMB0315_dom_I	PFAM:PF01476.26, PFAM:PF01551.29, PFAM:PF04225.17, PFAM:PF08525.16, PFAM:PF19425.4, PFAM:PF22310.2
contig_30	49897	50238	-	PAPNPA_00461	13.2	11.4		
contig_32	39575	40123	+	PAPNPA_00553	19.6	4.8		
contig_34	11298	11756	+	PAPNPA_00629	17.0	9.3		
contig_34	28583	29635	-	PAPNPA_00644	37.3	4.6	PF00805.28|Pentapeptide, PF13576.12|Pentapeptide_3, PF13599.12|Pentapeptide_4, PF21684.2|PipB2_N	PFAM:PF00805.28, PFAM:PF13576.12, PFAM:PF13599.12, PFAM:PF21684.2
contig_34	32642	32773	+	PAPNPA_00647	5.0	9.1		
contig_34	47486	47644	-	PAPNPA_00662	6.0	11.0		
contig_35	2624	3100	+	PAPNPA_00696	17.5	9.6		
contig_35	3362	3535	-	PAPNPA_00697	6.4	8.9		
contig_35	12959	15055	+	PAPNPA_00702	78.3	9.3	PF13475.11|DUF4116	PFAM:PF13475.11
contig_35	25064	25315	-	PAPNPA_00705	8.5	6.1		
contig_35	30825	31259	-	PAPNPA_00711	16.3	9.3		
contig_35	31557	31769	-	PAPNPA_00712	8.1	9.7		
contig_35	33892	35613	-	PAPNPA_00716	58.4	4.8	PF01391.23|Collagen, PF13620.12|CarboxypepD_reg	PFAM:PF01391.23, PFAM:PF13620.12
contig_35	44042	44395	-	PAPNPA_00725	13.0	4.8		
contig_35	44470	44835	-	PAPNPA_00726	13.5	10.4		
contig_35	44906	45088	-	PAPNPA_00727	6.5	4.1		
contig_35	45771	45869	-	PAPNPA_00729	3.9	8.3		
contig_35	47625	47843	-	PAPNPA_00733	7.8	8.0		SO:0001217, UniRef:UniRef50_A0A5U3I4D7
contig_35	51439	51747	-	PAPNPA_00737	11.3	8.5		
contig_35	51729	51923	-	PAPNPA_00738	7.7	9.3		
contig_35	53440	53712	-	PAPNPA_00743	10.2	5.5		
contig_35	56106	56360	-	PAPNPA_00748	9.6	9.5	PF01381.28|HTH_3	PFAM:PF01381.28
contig_35	56525	56857	+	PAPNPA_00749	12.4	5.4	PF01381.28|HTH_3	PFAM:PF01381.28
contig_35	57158	57382	+	PAPNPA_00750	8.4	6.3		
contig_35	58161	58496	+	PAPNPA_00752	12.2	5.8		
contig_35	64050	64229	+	PAPNPA_00758	6.8	9.4		
contig_35	73470	73760	-	PAPNPA_00772	10.7	5.0		
contig_35	80989	81402	-	PAPNPA_00778	15.4	9.7		
contig_36	10114	10305	-	PAPNPA_00790	7.1	6.7		
